query,response,response_time,response_length,has_response,not_found_response
What are the late fee charges?,"I couldn't find specific information about that topic in the academic documents. You might want to:

• Rephrase your question with different keywords
• Contact the academic office directly
• Check the university website for the most current information

Is there anything else I can help you with?",0.01821613311767578,297,True,True
How do I register for classes?,"Here's what I found that might be relevant:

or stolen personal property (5136) 4.9 TECHNOLOGY ASSISTANCE CENTER To support students as they prepare for an increasingly technological society, STEM has created the Technology Assistance Center (TAC). The TAC supports STEM technology equipment, applications, web services and more. The TAC office is located in Room 138. Requesting Support Students can request support by submitting a support ticket through the TAC support portal at https://tac.daytonstemschool.org. Support tickets should be submitted when a technology- related issue arises that hinders a student’s ability to participate in school related activities. Students can track the status of their support ticket by clicking the ""Sign In"" button in the upper right and selecting ""Log in with DRSS Account."" The support portal also ans...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.021712779998779297,961,True,False
What is the academic calendar?,"Here's what I found that might be relevant:

for the 2023-2024 school year will be: 8:15am until 3:15 pm (8210). Each day, students attend classes for eight periods. Student’s individual schedules will be provided at the beginning of the school year. Schedule changes will not be permitted unless a unique circumstance exists. Requests for a schedule change should be made through the School Counselor. The school building will open at 7:30 am. Any student who enters school prior to 8:15 am or stays after 3:15 pm must remain in assigned areas. For safety reasons, students will not be permitted to leave the premises once they enter the school building in the morning. Students must also abide by the handbook policy on Before/After School Time in Section IV (The Student Code of Conduct). 1.3 EMERGENCY CLOSINGS AND NOTIFICATIONS If on-site c...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.019553184509277344,961,True,False
How do I contact academic advisors?,"Here's what I found that might be relevant:

website will provide links for: • 24-hour crisis hotlines • Links to resources giving specific information for mental health needs • Steps to take if a student is exhibiting alarming warning signs or suicide (i.e. agitation, intoxication, suicide threat with a plan, access to means, etc.) • Socioemotional resources • How to contact the school counselors and how to access community resources Assessment & Referral Suicidality Without Parent Present: When a student is identified by a staff person as potentially suicidal (i.e. verbalizes suicidality, presents overt warning signs, or a student self-refers) and no parent is present, a credentialed school counselor will assist the student and adult staff member who is with the student. The school counselor will be listed on the school website alo...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.02188897132873535,961,True,False
What are the exam policies?,"Here's what I found that might be relevant:

1.16 USE OF SCHOOL EQUIPMENT AND FACILITIES Students must receive teacher permission before using any equipment or materials in the classroom, Innovation Space and manufacturing spaces. This includes all technology, 3D printers, laser cutters, vinyl cutters, etc. Students must seek permission from the Superintendent/CAO prior to using any other school equipment or facilities. No students are permitted to be in the innovation and manufacturing spaces without a teacher’s supervision. Students are responsible for the proper use and protection of any equipment or facility they are permitted to use. Possible consequences of misuse or unapproved use of school equipment may include financial and/or school approved disciplinary act 14 SECTION II: ACADEMICS 2.1 PERSONALIZED LEARNING PERIOD Each stu...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.023553133010864258,961,True,False
How do I appeal a grade?,"Here's what I found that might be relevant:

special education may be exempted from state or nationally mandated assessments. This exemption will be determined by the student’s Individualized Education Plan (IEP) Team. Unless exempted according to State of Ohio rules/laws, each student must pass all portions of the State-mandated assessment test required for graduation. 2.5 GRADES Report cards will be distributed quarterly. Course credit is assigned upon completion of the course. Credit will not be awarded for courses marked as “Incomplete” or “Failed.” STEM Grading Scale A 89.5% or higher B 79.5% to 89.4% C 69.5% to 79.4% F 0-69.4% The STEM grading scale will be: A, B, C or F. I (In Progress) designation will only be used on a case-by-case basis. Report cards will have numeric grades (grading scale above), alpha grades will appear o...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.025600433349609375,961,True,False
What parking is available?,"I couldn't find specific information about that topic in the academic documents. You might want to:

• Rephrase your question with different keywords
• Contact the academic office directly
• Check the university website for the most current information

Is there anything else I can help you with?",0.017827510833740234,297,True,True
How do I get a student ID?,"Here's what I found that might be relevant:

or stolen personal property (5136) 4.9 TECHNOLOGY ASSISTANCE CENTER To support students as they prepare for an increasingly technological society, STEM has created the Technology Assistance Center (TAC). The TAC supports STEM technology equipment, applications, web services and more. The TAC office is located in Room 138. Requesting Support Students can request support by submitting a support ticket through the TAC support portal at https://tac.daytonstemschool.org. Support tickets should be submitted when a technology- related issue arises that hinders a student’s ability to participate in school related activities. Students can track the status of their support ticket by clicking the ""Sign In"" button in the upper right and selecting ""Log in with DRSS Account."" The support portal also ans...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.02288341522216797,961,True,False
What health services are available?,"I couldn't find specific information about that topic in the academic documents. You might want to:

• Rephrase your question with different keywords
• Contact the academic office directly
• Check the university website for the most current information

Is there anything else I can help you with?",0.024198293685913086,297,True,True
How do I join student organizations?,"Here's what I found that might be relevant:

Superintendent/CAO will work with the sponsor/advisor to determine how much time, money, and effort it will take to get the club going. Once the Superintendent/CAO and the sponsor/advisor have given approval, the sponsor/advisor and the interested students will be responsible for scheduling meetings, establishing mission and goals and determining activities (2430). 3.3 STUDENT FUNDRAISING Students participating in STEM-sponsored activities may solicit funds from other students, staff members, and members of the community in accordance with school guidelines and prior approval from the Superintendent/CAO (5830). Students are not permitted to sell items at STEM or on Schoology for personal profit or for other organizations' fundraising (i.e., candy sales, flower sales, etc.). Staff and stude...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.021804332733154297,961,True,False
