query,response,response_time,response_length,has_response,not_found_response
What are the late fee charges?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 26** — Inappropriate behavior, non- payment of fees and excessive late pickups will not be tolerated and this service can be terminated.
- **2023-2024 Student Handbook.pdf — page 26** — Students who are not picked up by 3:30 pm must report to the after-school program and will be charged the daily rate of $7.00.
- **2023-2024 Student Handbook.pdf — page 15** — 2.3 STUDENT FEES In accordance with State law, STEM can charge fees for activities and materials used for instruction (6152, 6152.01).

Need anything else from the handbook or policy guides?",0.18888354301452637,642,True,False
How do I register for classes?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 29** — Students can access their email by logging into https://portal.office.com.
- **2023-2024 Student Handbook.pdf — page 15** — 2.2 COURSES OF STUDY/COURSE MATERIALS Students will be enrolled in a core curriculum at STEM.
- **2023-2024 Student Handbook.pdf — page 29** — Students can track the status of their support ticket by clicking the ""Sign In"" button in the upper right and selecting ""Log in with DRSS Account."" The support portal also answers frequently asked ""how do I…"" questions.

Need anything else from the handbook or policy guides?",0.2382969856262207,639,True,False
What is the academic calendar?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 6** — We look forward to an outstanding 2023-2024 school year.
- **2023-2024 Student Handbook.pdf — page 25** — Students absent one day prior to a project due date or test, will still be expected to turn their project in on time and take their test the day they return.
- **2023-2024 Student Handbook.pdf — page 8** — Each day of STEMmersion is considered a regular school day, therefore student attendance during each day of STEMmersion is mandatory.

Need anything else from the handbook or policy guides?",0.08365631103515625,597,True,False
How do I contact academic advisors?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 29** — Students are reminded to keep their email conversations professional, polite, and academic.
- **2023-2024 Student Handbook.pdf — page 29** — Students can access their email by logging into https://portal.office.com.
- **2023-2024 Student Handbook.pdf — page 49** — The school counselor will be listed on the school website along with contact information.

Need anything else from the handbook or policy guides?",0.08620381355285645,507,True,False
What are the exam policies?,"Here's what I found in the academic documents:

- **Academic_Calender_2025_26.pdf — page 1** — Conceicao Rodrigues College of Engineering Fr.

Need anything else from the handbook or policy guides?",0.023480892181396484,197,True,False
How do I appeal a grade?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 16** — Please see an administrator for information on the grade appeal process.
- **2023-2024 Student Handbook.pdf — page 45** — If either party is dissatisfied with the outcome, he or she may appeal to the Superintendent by filing a written notice of appeal within 5 school days of the date of the written notice of the outcome of the investigation.
- **2023-2024 Student Handbook.pdf — page 45** — Within 10 school days of receiving the notice of appeal, the Superintendent will review the report prepared by the investigator, the investigator's file, and any other documents or materials provided by the parties and affirm, reverse, or revise the determination and recommendations of the investigator.

Need anything else from the handbook or policy guides?",0.1952834129333496,850,True,False
What parking is available?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 22** — STUDENT PARKING: • Students who drive to school and park in the student parking area are required to purchase and display an official current school year parking permit.
- **2023-2024 Student Handbook.pdf — page 22** — • Students are prohibited from parking in areas outside of the designated student parking area.
- **2023-2024 Student Handbook.pdf — page 22** — • Full awareness and safety expectations are required at all times in the school parking lot.

Need anything else from the handbook or policy guides?",0.13926219940185547,610,True,False
How do I get a student ID?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 30** — Students will use their four-digit Student ID number, sometimes called their ""lunch number,"" to access the printers.
- **2023-2024 Student Handbook.pdf — page 29** — Students can access their email by logging into https://portal.office.com.
- **2023-2024 Student Handbook.pdf — page 29** — Students can track the status of their support ticket by clicking the ""Sign In"" button in the upper right and selecting ""Log in with DRSS Account."" The support portal also answers frequently asked ""how do I…"" questions.

Need anything else from the handbook or policy guides?",0.21627473831176758,662,True,False
What health services are available?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 49** — Suicide prevention units will be created and made available to all middle and high school students that could be included in a variety of life skills and special interest courses.
- **2023-2024 Student Handbook.pdf — page 3** — 11 1.11 Student Health and Well-Being ...............................................................................
- **2023-2024 Student Handbook.pdf — page 3** — 7 1.2 Schedule ....................................................................................................................

Need anything else from the handbook or policy guides?",0.3438858985900879,678,True,False
How do I join student organizations?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 21** — 3.2 AFTER SCHOOL CLUBS The following steps should be followed in order to start an after-school club at STEM: • Submit the STEM Club application to the Superintendent/CAO • Each proposal should include: o The names and signatures of five or more students that want to start and join the club; and o The names and signatures of potential sponsors/advisors for the club.
- **2023-2024 Student Handbook.pdf — page 21** — 3.3 STUDENT FUNDRAISING Students participating in STEM-sponsored activities may solicit funds from other students, staff members, and members of the community in accordance with school guidelines and prior approval from the Superintendent/CAO (5830).
- **2023-2024 Student Handbook.pdf — page 21** — Staff and students must fill out a fundraising application and submit it to Stephanie Adams- Taylor, the Director of Strategic Partnerships.

Need anything else from the handbook or policy guides?",0.16280031204223633,1011,True,False
