query,response,response_time,response_length,has_response,not_found_response
What are the late fee charges?,"Here's what I found in the academic documents:

- **Unconfirmed 633614.crdownload.pdf — page 20 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — If student pays **fee**s from 8th day till the date of exam, **late** **fee**s of Rs 1000 per subject will be charged.
- **General Rules and Regulations - Library.pdf — page 2 (data\pdfs\General Rules and Regulations - Library.pdf)** — **CHARGES**: Materials borrowed should be returned on or before the due date mentioned in the due date slip, if returned **late** overdue fine will be collected.

Need anything else from the handbook or policy guides?",0.17675518989562988,599,True,False
How do I register for classes?,"Here's what I found in the academic documents:

- **Unconfirmed 633614.crdownload.pdf — page 29 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — If you have not chosen option 1 and fail to **register** for remedial courses, then you can opt to **enroll** when the course you have failed is offered again in later semesters.
- **Unconfirmed 633614.crdownload.pdf — page 29 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — Students who have NG/F in LLC need to apply for additional course in the next semester when the LLC coordinator floats the form for **registration**.
- **Unconfirmed 633614.crdownload.pdf — page 29 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — If any LLC course is ongoing, approach LLC coordinator and **enroll**.

Need anything else from the handbook or policy guides?",0.28942441940307617,797,True,False
What is the academic calendar?,"Here's what I found in the academic documents:

- **Unconfirmed 633614.crdownload.pdf — page 30 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — **Academic** **calendar** refers to **schedule** of commencement of instruction for the semester, course delivery period, examinations/evaluation, other **academic** activities, holidays and student major activities **schedule**.
- **Lesson Plan.pdf — page 2 (data\pdfs\Lesson Plan.pdf)** — Departmental **Academic** **Calendar** is prepared by adding timelines and **schedule**s for department-level activities and events like Lesson Plan Submission, final year project evaluation, Faculty Development Programs(FDPs), Industrial Visits, PAC meetings, DAB meeting.
- **Unconfirmed 633614.crdownload.pdf — page 30 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — The **academic** **calendar** is strictly adhered to and all other activities including co-curricular and extra-curricular activities should be **schedule**d so as not to interface with the curricular activities as stipulated in the **academic** **calendar**.

Need anything else from the handbook or policy guides?",0.24700260162353516,1124,True,False
How do I contact academic advisors?,"Here's what I found in the academic documents:

- **Unconfirmed 660596.crdownload.pdf — page 5 (data\pdfs\Unconfirmed 660596.crdownload.pdf)** — • Term of Office: The term of the council shall be for the **academic** calendar year.
- **Internship_Data_Proforma.pdf — page 16 (data\pdfs\Internship_Data_Proforma.pdf)** — Whom can I **contact** for any clarifications / questions on internships and related processes?
- **Unconfirmed 660596.crdownload.pdf — page 5 (data\pdfs\Unconfirmed 660596.crdownload.pdf)** — • Each council needs approval from the Dean's office for their events to avoid any clashes with the **academic** or administrative events in the Institute.

Need anything else from the handbook or policy guides?",0.1210484504699707,724,True,False
What are the exam policies?,"Here's what I found in the academic documents:

- **Unconfirmed 633614.crdownload.pdf — page 9 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — 2.1 List of **Exam**inations: The National Education Policy 2020 emphasizes formative and competency-based **assessment** for developing higher-order thinking skills such as creativity, critical thinking and analysis.
- **Unconfirmed 633614.crdownload.pdf — page 9 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — The **assessment**s implemented by Fr CRCE in line with NEP-2020 help the learner to track and improve the learning outcomes/ approaches and promote holistic development of the learner.
- **Unconfirmed 633614.crdownload.pdf — page 9 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — Any evaluation and **assessment** system must **test** different levels of cognitive attainment.

Need anything else from the handbook or policy guides?",0.24538588523864746,895,True,False
How do I appeal a grade?,"Here's what I found in the academic documents:

- **Unconfirmed 633614.crdownload.pdf — page 25 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — (ISE1+MSE+ISE2+ESE) or apply for **grade** up-gradation then ISE will be carried forward during special as well as re-examination and there will be **grade** penalty.
- **Unconfirmed 633614.crdownload.pdf — page 22 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — In case of Re-examination only absolute grading should be awarded with an upper cap of ‘B’ **grade**.
- **Credit Based Evaluation System.pdf — page 3 (data\pdfs\Credit Based Evaluation System.pdf)** — Grading can be designed to measure the degree of achievement on each  criterion thus making assessments more meaningful.

Need anything else from the handbook or policy guides?",0.27010059356689453,789,True,False
What parking is available?,"Here's what I found in the academic documents:

- **Unconfirmed 633614.crdownload.pdf — page 29 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — 3 options are **available**; student may choose what suits them best.
- **Unconfirmed 633614.crdownload.pdf — page 14 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — For lateral entry students this option will be **available** only for candidates with minimum CGPA/CPI of 7.5 or 75 percentage in diploma.
- **Unconfirmed 633614.crdownload.pdf — page 30 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — It shall be notified at the beginning of each academic year.

Need anything else from the handbook or policy guides?",0.2414240837097168,667,True,False
How do I get a student ID?,"Here's what I found in the academic documents:

- **Unconfirmed 633614.crdownload.pdf — page 13 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — CRCE must have unique **student** identity card known as the Automated Permanent Academic Account Registry (APAAR).
- **Unconfirmed 633614.crdownload.pdf — page 54 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — ➢ The grade cards can be issued to the Learners on the basis of the above calculations in a uniform format prepared by the Examination Cell and approved by Academic Council.
- **Unconfirmed 633614.crdownload.pdf — page 54 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — The Principal and Controller of Examinations of the College will be authorized to sign the grade cards of the **student**s.

Need anything else from the handbook or policy guides?",0.22041773796081543,811,True,False
What health services are available?,"Here's what I found in the academic documents:

- **Unconfirmed 660596.crdownload.pdf — page 2 (data\pdfs\Unconfirmed 660596.crdownload.pdf)** — They are responsible for ensuring the value system of the
- **Unconfirmed 660596.crdownload.pdf — page 6 (data\pdfs\Unconfirmed 660596.crdownload.pdf)** — • Approve purchases and cash advances as per institute rules.
- **Unconfirmed 633614.crdownload.pdf — page 30 (data\pdfs\Unconfirmed 633614.crdownload.pdf)** — It shall be notified at the beginning of each academic year.

Need anything else from the handbook or policy guides?",0.35451483726501465,576,True,False
How do I join student organizations?,"Here's what I found in the academic documents:

- **Unconfirmed 660596.crdownload.pdf — page 10 (data\pdfs\Unconfirmed 660596.crdownload.pdf)** — • Collaborate: Work with other council members, club officers, and **student** **organizations** to achieve common goals and maximize impact.
- **Unconfirmed 660596.crdownload.pdf — page 2 (data\pdfs\Unconfirmed 660596.crdownload.pdf)** — **Student** council and club members work to create a sense of community within the college by organizing social events, fostering inclusivity, and promoting a positive campus culture.

Need anything else from the handbook or policy guides?",0.2308492660522461,625,True,False
